,date,tweet,Compound,Open,Close,Volume
0,2019-10-12,fair point. will hold on eu price change until tesla gets clarity from regulators about smart summon feature release date.,0.7717,8315.665039,8336.555664,14532641605
1,2019-06-24,"yes, the droids can now hold down the center core",0.4019,10853.744141,11011.102539,19271652365
2,2019-04-02,dogecoin value may vary  ,0.34,4156.919434,4879.87793,21315047816
3,2019-04-02,dogecoin rulz  ,0.0,4156.919434,4879.87793,21315047816
4,2019-04-02,dogecoin might be my fav cryptocurrency. it’s pretty cool.,0.8176,4156.919434,4879.87793,21315047816
5,2020-12-20,one word: doge,0.0,23861.765625,23477.294922,37844228422
6,2020-11-18,"wise words from bogle. the point of companies is products &amp; services. they have no point in &amp; of themselves, nor do these indices. buy &amp; hold stock in companies where you love the product roadmap, sell where you don’t.  ",0.7269,17645.191406,17804.005859,49064800278
7,2020-09-28,"we will probably ipo starlink, but only several years in the future when revenue growth is smooth &amp; predictable. public market does *not* like erratic cash flow haha. i’m a huge fan of small retail investors. will make sure they get top priority. you can hold me to it.",0.9412,10776.613281,10709.652344,47762394731
8,2020-09-18,current was too strong for droneship to hold station. thrusters to be upgraded for future missions.,0.5106,10951.820313,10944.585938,26341903912
9,2020-08-11,"same hex tiles, slightly different mounting method. need bigger sections of tiles to see how they hold up with cryo shrinkage, pressure expansion &amp; body bending.",-0.296,11881.647461,11410.525391,27039782640
10,2020-07-27,hold my beer  ,0.0,9905.217773,10990.873047,35359749590
11,2020-07-10,"not actually a payout, just a vesting of stock options. it may never pay out, as the stock can’t be sold for 5 years after exercise. the stock must be bought &amp; income taxes paid, then hold value for 5 years.",0.4011,9273.357422,9278.807617,16860035605
12,2020-04-25,dogecoin mode,0.0,7550.48291,7569.936035,32941541447
13,2020-02-02,tesla will hold a super fun ai party/hackathon at my house with the tesla ai/autopilot team in about four weeks. invitations going out soon.,0.802,9389.820313,9344.365234,30835736946
14,2019-10-12,fair point. will hold on eu price change until tesla gets clarity from regulators about smart summon feature release date.,0.7717,8315.665039,8336.555664,14532641605
15,2019-06-24,"yes, the droids can now hold down the center core",0.4019,10853.744141,11011.102539,19271652365
16,2019-04-02,dogecoin value may vary  ,0.34,4156.919434,4879.87793,21315047816
17,2019-04-02,dogecoin rulz  ,0.0,4156.919434,4879.87793,21315047816
18,2019-04-02,dogecoin might be my fav cryptocurrency. it’s pretty cool.,0.8176,4156.919434,4879.87793,21315047816
19,2021-12-26,floki santa  ,0.0,50428.691406,50809.515625,20964372926
20,2021-12-23,that’s why i’m pro doge,0.0,48626.34375,50784.539063,28223878108
21,2021-12-20,tesla will hold a giga texas grand opening party with factory tours for the community in early 2022,0.6908,46707.0625,46880.277344,30961902129
22,2021-12-14,tesla will make some merch buyable with doge &amp; see how it goes,0.0,46709.824219,46612.632813,34638619079
23,2021-11-23,"i don’t use binance (tried at one point, but signup was too many hoops to jump through), so no inconvenience to me personally. just raising this issue on behalf of other doge holders.",0.5621,56304.554688,57569.07421900001,37485803899
24,2021-11-23,doge holders using binance should be protected from errors that are not their fault,0.4133,56304.554688,57569.07421900001,37485803899
25,2021-11-23,"hey , what’s going on with your doge customers? sounds shady.",0.0,56304.554688,57569.07421900001,37485803899
26,2021-11-03,how about my lil doge floki? he would make a great ceo! his judgment is 🤌.,0.6588,63254.335938,62970.046875,36124731509
27,2021-10-31,tuition is in dogecoin &amp; u get a discount if u have a dog,0.0,61850.48828099999,61318.95703099999,32241199927
28,2021-10-24,lots of people i talked to on the production lines at tesla or building rockets at spacex own doge. they aren’t financial experts or silicon valley technologists. that’s why i decided to support doge – it felt like the people’s crypto.,0.6369,61368.34375,60930.835938,27316183882
29,2021-10-22,*in dogecoin,0.0,62237.890625,60692.265625,38434082775
30,2021-10-07,"fsd beta 10.2 rolls out friday midnight to ~1000 owners with perfect 100/100 safety scores.   rollouts will hold for several days after that to see how it goes.   if that looks good, beta will gradually begin rolling out to 99 scores &amp; below.",0.8555,55338.625,53805.984375,36807860413
31,2021-10-04,floki frunkpuppy  ,0.0,48208.90625,49112.902344,33383173002
32,2021-10-03,"good point, will discuss with team. floki pic tomorrow.",0.4404,47680.027344,48199.953125,26638115879
33,2021-09-23,super important for doge fees to drop to make things like buying movie tix viable,0.7269,43560.296875,44895.097656,34244064430
34,2021-09-13,floki has arrived  ,0.0,46057.214844,44963.074219,40969943253
